year,route1,highpoint,route
1963,S Col-SE Ridge,8850,"BC(21/03,5425m),C1(30/03,6160m),C2.ABC(02/04,6510m),C3(07/04,7250m),C4(15/05,7650m),C5(16/05,7950m),C6(21/05,8300m),Smt(01,22/05); C3W(07/04,7250m),C4W(15/05,7650m),C5W(21/05,8300m),Smt(22/05),Biv(22/05,8530m)"
1965,S Col-SE Ridge,8850,"BC(22/03,5425m),C1(27/03,6100m),C2(04/04,6490m),C3(06/04,6980m),C4(08/03,7620m),C5(18/05,7986m),C6(19/05,8513m),Smt(20,22,24,29/05)"
1970,S Col-SE Ridge,8850,"BC(23/03,5350m),Dep(5800m),C1(04/04,6150m),C2(16/04,6450m),C3(18/04,6950m),C4(26/04,7500m),C5(26/04,7986m),C6(10/05,8513m),Smt(11-12/05); SWFaceC2.ABC(17/04,6600m),C3(18/04,7000m),C4(06/05,7500m),xxx(10/05,8050m)"
1973,S Col-SE Ridge,8850,"BC(21/03,5400m),C1(27/03,6150m),C2(31/03,6450m),C3(11/04,7000m),C4(29/04,7500m),C5(30/04,7985m),C6(04/05,8515m),Smt(05,07/05)"
1973,S Col-SE Ridge,8850,"BC(25/08,5440m),C1(04/09,6100m),C2(09/09,6700m),C3A(18/10,7450m),C4A(25/10,8000m),Smt(26/10),Biv(26/10,8600m); SW-Face.C3B(18/09,7000m),C4B(26/09,7500m),C5B(07/10,8000m),xxx(26/10,8380m)"
1975,S Col-SE Ridge,8850,"BC(16/03,5300m),C1(03/04,6050m),C2(08/04,6400m),C3(14/04,6900m),C4(27/04,7600m),C5(14/05,7985m),C6(15/05,8500m),Smt(16/05)"
1976,S Col-SE Ridge,8850,"BC(24/03,5425m),C1(03/04,5950m),C2(09/04,6650m),C3(21/04,6950m),C4(30/04,7620m),C5(12/05,8000m),C6(14/05,8380m),Smt(16/05)"
1976,S Col-SE Ridge,8850,"BC(26/08),C1(02/09,5900m),C2(08/09,6480m),C3(10/09,7000m),C4(25/09,7470m),C5(01/10,7985m),C6(07/10,8380m),Smt(08/10)"
1977,S Col-SE Ridge,8850,"BC(09/08,5400m),C1(16/08,6100m),C2(19/08,6450m),C3(26/08,7400m),C4(07/09,7980m),C5(08/09,8500m),Smt(15/09)"
1978,S Col-SE Ridge,8850,"BC(24/03,5340m),C1(02/04,6050m),C2(03/04,6400m),C3(13/04,7200m),C4(24/04,7980m),C5(02/05,8500m),Smt(03,08,11,14/05)"
1978,S Col-SE Ridge,8850,"BC(03/09,5400m),C1(02/09,6000m),C2(09/09,6500m),C3(18/09,7250m),C4(30/09,8000m),Smt(14,16-17/10)"
1978,S Col-SE Ridge,8850,"BC(29/08,5400m),C1(02/09,6000m),C2(09/09,6500m),C3(18/09,7050m),C4(27/09,7600m),C5(30/09,8000m),Smt(15/10)"
1979,S Col-SE Ridge,8850,"BC(25/08,5400m),C1(04/09,6000m),C2(07/09,6500m),C3(12/09,7200m),C4(24/09,8000m),Smt(01-02/10)"
1979,S Col-SE Ridge,8850,"BC(31/12,5360m),C1(08/01,6050m),C2(09/01,6500m),C3(15/01,7150m),C4(11/02,7960m),Smt(17/02)"
1980,S Col-SE Ridge,8850,"BC(20/03,5400m),C1(05/04,6100m),C2(07/04,6500m),C3(17/04,7360m),C4(19/04,8000m),Smt(14/05)"
1982,S Col-SE Ridge,8850,"BC(16/08,5200m),C1(16/09,6060m),C2(22/09,6500m),C3(28/09,7200m),C4(04/10,8000m),Smt(05,07/10)"
1982,S Col-SE Ridge,8850,"BC(03/12,5350m),C1(08/12,6000m),C2(13/12,6650m),C3(18/12,7400m),C4(22/12,7900m),Smt(27/12)"
1983,S Col-SE Ridge,8850,"BC(01/04,5395m),C1(17/04,5900m),C2(21/04,6490m),C3(29/04,7315m),C4(06/05,7995m),C5(8380m),Smt(07,14/05)"
1983,S Col-SE Ridge,8850,"BC(10/09,5300m),C1(19/09,6100m),C2(23/09,6400m),C3(26/09,7500m),C4(07/10,7980m),Smt(08/10)"
1983,S Col-SE Ridge,8850,"BC(20/11,5300m),C1(01/12,6100m),C2(03/12,6400m),C3(08/12,7400m),C4(13/12,8000m),Smt(16/12)"
1984,S Col-SE Ridge,8850,"BC(16/03,5350m),C1(05/04,6095m),C2.ABC(09/04,6585m),C3(12/04,7315m),C4(29/04,7985m),C5(08/05,8475m),Smt(09,23/05)"
1985,S Col-SE Ridge,8850,"BC(14/03,5400m),C1(25/03,6100m),C2(31/03,6400m),C3(07/04,7300m),C4(18/04,8000m),Smt(21,29-30/04)"
1985,S Col-SE Ridge,8850,"BC(16/09,5350m),C1(01/10,6000m),C2(04/10,6500m),C3(14/10,7450m),C4(28/10,7980m),Smt(30/10)"
1987,S Col-SE Ridge,8850,"BC(30/11,5350m),C1(04/12,6100m),C2(07/12,6600m),C3(11/12,7300m),C4(19/12,7986m),Smt(22/12),Biv(22/12,8600m)"
1988,S Col-SE Ridge,8850,"BC(12/03,5400m),C1(26/03,5900m),C2(04/04,6500m),C3(14/04,7300m),C4(14/05,7900m),Smt(25,28/05)"
1988,S Col-SE Ridge,8850,"BC(22/08,5350m),C1(05/09,6000m),C2(12/09,6500m),C3(27/09,7225m),C4(28/09,7900m),Smt(29/09,02/10)"
1988,S Col-SE Ridge,8850,"BC(01/09,5350m),C1(07/09,6100m),C2(09/09,6400m),C3(15/09,7200m),C4(25/09,8000m),Smt(26/09)"
1988,S Col-SE Ridge,8850,"BC(08/09,5350m),C1(6200m),C2(7300m),Smt(26/09)"
1988,S Col-SE Ridge,8850,"BC(14/09,5400m),C1(19/09,6100m),C2(23/09,6400m),C3(25/09,7400m),C4(12/10,8000m),Smt(13/10)"
1989,S Col-SE Ridge,8850,"BC(11/03,5350m),C1(04/04,6000m),C2(07/04,6400m),C3(21/04,7200m),C4(02/05,7900m),Smt(16/05)"
1989,S Col-SE Ridge,8850,"BC(30/03,5350m),C1(09/04,6000m),C2(17/04,6400m),C3(22/04,7150m),C4(04/05,7900m),Smt(24/05)"
1989,S Col-SE Ridge,8850,"BC(28/04),C1,C2,C3(7400m),C4(09/04,7900m),Smt(10/05)"
1989,S Col-SE Ridge,8850,"BC(25/08,5350m),C1(03/09,6050m),C2(09/09,6450m),C3(17/09,7300m),C4(04/10,7950m),Smt(13/10)"
1989,S Col-SE Ridge,8850,"BC(31/08,5350m),C1(05/09,6250m),C2(11/09,7300m),C3(19/09,7900m),Smt(13/10)"
1990,S Col-SE Ridge,8850,"BC(26/03,5485m),C1(04/04,6100m),ABC(12/04,6700m),C3(16/04,7300m),C4(23/04,7985m),C5(23/04,8530m),Smt(23/04)"
1990,S Col-SE Ridge,8850,"BC(01/04,5350m),C1(06/04,6000m),C2(08/04,6600m),C3(15/04,7150m),C4(27/04,7900m),Smt(10-11/05)"
1990,S Col-SE Ridge,8850,"BC(01/04,5350m),C1(10/04,6100m),C2(14/04,6400m),C3(19/04,7300m),C4(09/05,7900m),Smt(10-11/05)"
1990,S Col-SE Ridge,8850,"BC(23/08,5400m),C1(31/08,6100m),C2.ABC(07/09,6700m),C3(15/09,7250m),C4(23/09,7890m),Smt(06/10)"
1990,S Col-SE Ridge,8850,"BC(28/08,5300m),C1(03/09,6100m),C2(05/09,6400m),C3(12/09,7200m),C4(19/09,7900m),Smt(04,07/10)"
1990,S Col-SE Ridge,8850,"BC(04/09,5300m),C1(08/09,6100m),C2(09/09,6400m),C3(13/09,7300m),C4(23/09,7900m),Smt(05-06/10)"
1991,S Col-SE Ridge,8850,"BC(10/03,5350m),C1(28/03,6100m),C2(02/04,6500m),C3(05/04,7100m),C4(21/04,7900m),Smt(08/05)"
1991,S Col-SE Ridge,8850,"BC(10/03,5350m),C1(01/04,6100m),C2(06/04,6500m),C3(19/04,7200m),C4(27/04,7900m),Smt(15/05)"
1991,S Col-SE Ridge,8850,"BC(10/03,5350m),C1(28/03,6100m),C2(02/04,6500m),C3(21/04,7900m),Smt(08/05)"
1991,S Col-SE Ridge,8850,"BC(20/03,5350m),C1(01/04,6050m),C2(06/04,6500m),C3(30/04,7100m),C4(01/05,7900m),Smt(15/05)"
1991,S Col-SE Ridge,8850,"BC(21/08,5350m),C1(04/09,6000m),C2(09/09,6400m),C3(16/09,7300m),C4(30/09,7900m),Smt(06/10)"
1991,S Col-SE Ridge,8850,"BC(17/09,5350m),C1(25/09,6100m),C1(23/09,6400m),C2(24/09,6800m),C3(02/10,7300m),C4(30/09,7900m),Smt(07,10/10)"
1992,S Col-SE Ridge,8850,"BC(19/03,5350m),C1(06/04,6100m),C2(08/04,6600m),C3(11/04,7350m),C4(11/05,7900m),Smt(12/05)"
1992,S Col-SE Ridge,8850,"BC(23/03,5350m),C1(03/04,6150m),C2(05/04,6400m),C3(09/04,7200m),C4(01/05,7850m),Smt(12/05)"
1992,S Col-SE Ridge,8850,"BC(26/03,5350m),C1(28/03,6000m),C2(02/04,6500m),C3(10/04,7200m),C4(02/05,7900m),Smt(12,15/05)"
1992,S Col-SE Ridge,8850,"BC(29/03,5350m),C1(09/04,6200m),C2(12/04,6500m),C3(21/04,7200m),C4(06/05,7900m),Smt(15/05)"
1992,S Col-SE Ridge,8850,"BC(29/03,5350m),C1(01/04,6150m),C2(04/04,6650m),C3(26/04,7400m),C4(01/05,7900m),Smt(10,12/05)"
1992,S Col-SE Ridge,8850,"BC(02/04,5350m),C1(05/04,6100m),C2(15/04,6400m),C3(20/04,7500m),C4(12/05,7900m),Smt(15/05)"
1992,S Col-SE Ridge,8850,"BC(23/08,5350m),C1(01/09,6000m),C2(05/09,6400m),C3(14/09,7300m),C4(24/09,7900m),Smt(25/09,01,03/10)"
1992,S Col-SE Ridge,8850,"BC(01/09),C1(05/09,6100m),C2(08/09,6500m),C3(13/09,7300m),C4(23/09,7900m),Smt(04/10)"
1992,S Col-SE Ridge,8850,"BC(02/09,5350m),C1(10/09,6100m),C2(13/09,6100m),C3(18/09,7300m),C4(03/10,7900m),Smt(09/10)"
1992,S Col-SE Ridge,8850,"BC(04/09),C1(08/09,6100m),C2(11/09,6400m),C3(14/09,7300m),C4(24/09,7900m),Smt(07,09/10)"
1992,S Col-SE Ridge,8850,"BC(06/09,5350m),C1(09/09,6100m),C2(12/09,6400m),C3(15/09,7300m),C4(30/09,7900m),Smt(01/10)"
1992,S Col-SE Ridge,8850,"BC(07/09,5350m),C1(09/09,6000m),C2(10/09,6350m),C3(20/09,7250m),C4(27/09,7900m),Smt(28-30/09)"
1992,S Col-SE Ridge,8850,"BC(27/08),C1(01/09,6100m),C2(12/09,6400m),C3(16/09,7300m),C4(24/09,7900m),Smt(09/10)"
1993,S Col-SE Ridge,8850,"BC(05/03,5350m),C1(26/03,6100m),C2(10/04,6500m),C3(17/04,7200m),C4(10/05,7900m),Smt(16/05)"
1993,S Col-SE Ridge,8850,"BC(20/03,5300m),C1(05/04,6100m),C2(08/04,6500m),C3(12/04,7200m),C4(20/04,7900m),Smt(16/05)"
1993,S Col-SE Ridge,8850,"BC(22/03,5350m),C1(03/04,6100m),C2(06/04,6400m0,C3(23/04,7300m),C4(09/05,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(24/03,5350m),C1(06/04,6050m),C2(08/04,6400m),C3(17/04,7300m),C4(09/05,7900m),Smt(10,16/05)"
1993,S Col-SE Ridge,8850,"BC(27/03,5350m),C1(02/04,6050m),C2(08/04,6400m),C3(14/04,7200m),C4(23/04,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(27/03,5300m),C1(06/04,6100m),C2(10/04,6500m),C3(12/04,7400m),C4(04/05,7900m),C5(10/05,8400m),Smt(10,16/05)"
1993,S Col-SE Ridge,8850,"BC(27/03,5350m),C1(09/04,6150m),C2(16/04,6450m),C3(19/04,7200m),C4(09/05,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(20/03,5350m),C1(02/04,6050m),C2(05/04,6500m),C3(07/04,7375m),C4(20/04,7900m),Smt(22/04)"
1993,S Col-SE Ridge,8850,"BC(01/04,5350m),C1(07/04,6100m),C2(10/04,6500m),C3(21/04,7350m),C4(09/05,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(06/04),C1(12/04,6400m),C2(15/04,6860m),C3(07/05,7470m),C4(08/05,7900m),Smt(10,17/05)"
1993,S Col-SE Ridge,8850,"BC(08/04,5350m),C1,C2,C3,C4(20/04,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(15/04,5300m),C1(20/04,6100m),C2(21/04,6500m),C3(29/04,7200m),C4(01/05,7900m),Smt(16-17/05)"
1993,S Col-SE Ridge,8850,"BC(25/08,5350m),C1(31/08,6000m),C2(05/09,6450m),C3(19/09,7150m),C4(06/10,7900m),Smt(07,09/10)"
