expid,peakid,year,season,host,route1,route2,route3,route4,nation,leaders,sponsor,success1,success2,success3,success4,ascent1,ascent2,ascent3,ascent4,claimed,disputed,countries,approach,bcdate,smtdate,smttime,smtdays,totdays,termdate,termreason,termnote,highpoint,traverse,ski,parapente,camps,rope,totmembers,smtmembers,mdeaths,tothired,smthired,hdeaths,nohired,o2used,o2none,o2climb,o2descent,o2sleep,o2medical,o2taken,o2unkwn,othersmts,campsites,accidents,achievment,agency,comrte,stdrte,primrte,primmem,primref,primid,chksum
EVER60102,EVER,1960,1,2,N Col-NE Ridge,,,,China,Shi Zhang-Chun,,TRUE,FALSE,FALSE,FALSE,4th,,,,FALSE,FALSE,,,1960/3/19,1960/5/25,0205,67,0,  -   -,1,,8850,FALSE,FALSE,FALSE,8,0,29,3,1,99,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(19/03,5120m),C1(25/03,5400m),C2(26/03,5900m),C3(27/03,6400m),C4(27/03,6600m),C5(7000m),C6(29/04,7400m),C7(02/05,8100m),C8(03/05,8500m),Smt(25/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2439130
EVER63101,EVER,1963,1,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,,,USA,Norman Dyhrenfurth,American Mount Everest Expedition 1963,TRUE,TRUE,FALSE,FALSE,"5th,6th",7th,,,FALSE,FALSE,UK,Khumbu Valley,1963/3/21,1963/5/1,1300,41,65,1963/5/25,1,,8850,TRUE,FALSE,FALSE,6,0,20,5,1,40,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(21/03,5425m),C1(30/03,6160m),C2.ABC(02/04,6510m),C3(07/04,7250m),C4(15/05,7650m),C5(16/05,7950m),C6(21/05,8300m),Smt(01,22/05); C3W(07/04,7250m),C4W(15/05,7650m),C5W(21/05,8300m),Smt(22/05),Biv(22/05,8530m)",Breitenbach killed in Khumbu Icefall,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2440204
EVER65101,EVER,1965,1,1,S Col-SE Ridge,,,,India,M. S. Kohli,Indian Mount Everest Expedition,TRUE,FALSE,FALSE,FALSE,8th-11th,,,,FALSE,FALSE,,Khumbu Valley,1965/3/22,1965/5/20,0930,59,71,1965/6/1,1,,8850,FALSE,FALSE,FALSE,6,0,20,8,0,46,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(22/03,5425m),C1(27/03,6100m),C2(04/04,6490m),C3(06/04,6980m),C4(08/03,7620m),C5(18/05,7986m),C6(19/05,8513m),Smt(20,22,24,29/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2440956
EVER70102,EVER,1970,1,1,S Col-SE Ridge,SW Face (to 8050m),,,Japan,Hiromi Ohtsuka,,TRUE,FALSE,FALSE,FALSE,"12th,13th",,,,FALSE,FALSE,,Khumbu Valley,1970/3/23,1970/5/11,0910,49,59,1970/5/21,1,,8850,FALSE,FALSE,FALSE,6,0,39,3,1,56,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(23/03,5350m),Dep(5800m),C1(04/04,6150m),C2(16/04,6450m),C3(18/04,6950m),C4(26/04,7500m),C5(26/04,7986m),C6(10/05,8513m),Smt(11-12/05); SWFaceC2.ABC(17/04,6600m),C3(18/04,7000m),C4(06/05,7500m),xxx(10/05,8050m)",1 Sherpa killed by icefall; 1 member died of heart attack,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2442778
EVER73101,EVER,1973,1,1,S Col-SE Ridge,,,,Italy,Guido Monzino,Italian Everest Expedition,TRUE,FALSE,FALSE,FALSE,"14th,15th",,,,FALSE,FALSE,,,1973/3/21,1973/5/5,1239,45,0,  -   -,1,,8850,FALSE,FALSE,FALSE,6,0,65,5,0,88,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(21/03,5400m),C1(27/03,6150m),C2(31/03,6450m),C3(11/04,7000m),C4(29/04,7500m),C5(30/04,7985m),C6(04/05,8515m),Smt(05,07/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2443871
EVER73301,EVER,1973,3,1,S Col-SE Ridge,SW Face (to 8380m),,,Japan,Michio Yuasa,Japanese Expedition to Mt Everest 1973,TRUE,FALSE,FALSE,FALSE,16th,,,,FALSE,FALSE,,Khumbu Valley,1973/8/25,1973/10/26,1630,62,0,  -   -,1,,8850,FALSE,FALSE,FALSE,5,0,49,2,0,33,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(25/08,5440m),C1(04/09,6100m),C2(09/09,6700m),C3A(18/10,7450m),C4A(25/10,8000m),Smt(26/10),Biv(26/10,8600m); SW-Face.C3B(18/09,7000m),C4B(26/09,7500m),C5B(07/10,8000m),xxx(26/10,8380m)",Zangbu Sherpa killed by avalanche between C2 and C3,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2444045
EVER75101,EVER,1975,1,1,S Col-SE Ridge,,,,Japan,Eiko Hisano,Japanese Women's Everest Expedition 1975,TRUE,FALSE,FALSE,FALSE,17th,,,,FALSE,FALSE,,Khumbu Valley,1975/3/16,1975/5/16,1230,61,63,1975/5/18,1,,8850,FALSE,FALSE,FALSE,6,0,22,1,0,23,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(16/03,5300m),C1(03/04,6050m),C2(08/04,6400m),C3(14/04,6900m),C4(27/04,7600m),C5(14/05,7985m),C6(15/05,8500m),Smt(16/05)",,1st ascent by a woman,,TRUE,TRUE,FALSE,FALSE,FALSE,,2444614
EVER75102,EVER,1975,1,2,N Col-NE Ridge,,,,China,Shi Zhang-Chun,,TRUE,FALSE,FALSE,FALSE,18th,,,,FALSE,FALSE,,Lhasa->Rongbuk,1975/3/13,1975/5/27,1215,75,0,  -   -,1,,8850,FALSE,FALSE,FALSE,7,0,35,9,1,99,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(13/03),C1(5500m),C2(6000m),C3(6500m),C4(7000m),C5(27/04,7600m),C6(04/05,8200m),C7(8600m),Smt(27/05)",,2nd ascent by a woman,,TRUE,TRUE,FALSE,FALSE,FALSE,,2444625
EVER75301,EVER,1975,3,1,SW Face-S Smt,,,,UK,Chris Bonington,British Everest Expedition 1975,TRUE,FALSE,FALSE,FALSE,"19th,20th",,,,FALSE,FALSE,W Germany,Khumbu Valley,1975/8/23,1975/9/24,1800,32,39,1975/10/1,1,,8850,FALSE,FALSE,FALSE,6,0,23,3,1,60,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,"BC(25/08,5425m),C1(28/08,6100m),C2(02/09,6550m),C3(07/09,7000m),C4(11/09,7250m),C5(16/09,7825m),C6(22/09,8320m),Smt(24,26/09)",Burke fell to death near summit,,Mountain Travel,FALSE,FALSE,FALSE,FALSE,FALSE,,2444745
EVER76101,EVER,1976,1,1,S Col-SE Ridge,,,,UK,Tony Streather,Joint British Army & Royal Nepalese Army Everest Expedition,TRUE,FALSE,FALSE,FALSE,21st?,,,,FALSE,FALSE,Nepal,Khumbu Valley,1976/3/24,1976/5/16,1515,53,0,  -   -,1,,8850,FALSE,FALSE,FALSE,6,0,34,2,1,25,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Climbed Pokalde (POKA-761-01), Island Peak, Lobuje East and Chhukung","BC(24/03,5425m),C1(03/04,5950m),C2(09/04,6650m),C3(21/04,6950m),C4(30/04,7620m),C5(12/05,8000m),C6(14/05,8380m),Smt(16/05)",,,,TRUE,TRUE,FALSE,FALSE,FALSE,,2444981
